# step | KE | PE | CoM x | CoM y | CoM z | L_x | L_y | L_z | rmsd | vdw_area_0_surface | vdw_force_0_surface | vdw_energy_0_surface
23001	+3.600982e-19	+4.531585e-19	-3.652262e-10	-8.257060e-11	-8.035246e-11	-8.851154e-31	-9.928843e-31	+2.220483e-30	+3.920348e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
24001	+4.020472e-19	+3.554702e-19	-3.782106e-10	-8.404801e-11	-8.623606e-11	-2.391011e-31	-1.284673e-30	+5.896177e-30	+4.185731e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
25001	+4.117221e-19	+3.517845e-19	-3.856177e-10	-9.095004e-11	-9.064838e-11	-4.728750e-31	-1.011429e-30	+6.671540e-30	+4.355974e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
26001	+3.991665e-19	+4.246829e-19	-3.919495e-10	-9.955419e-11	-9.422542e-11	-3.167890e-31	-1.536748e-30	+5.496472e-30	+4.523455e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
27001	+4.261012e-19	+4.522943e-19	-3.962075e-10	-1.039701e-10	-1.008445e-10	+9.198718e-33	-2.957504e-30	+4.597724e-30	+4.680644e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
28001	+4.114632e-19	+3.595690e-19	-4.008952e-10	-1.054099e-10	-1.100341e-10	-2.978845e-31	-2.826441e-30	+2.641577e-30	+4.899275e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
29001	+3.047527e-19	+3.906819e-19	-4.022401e-10	-1.033802e-10	-1.176805e-10	-3.000733e-31	-2.785031e-30	+2.201491e-30	+5.123999e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
30001	+3.373034e-19	+3.499447e-19	-4.016830e-10	-9.790276e-11	-1.195811e-10	-7.774084e-31	+2.162446e-31	+2.308617e-30	+5.270315e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
31001	+4.595267e-19	+3.378248e-19	-4.004944e-10	-9.611755e-11	-1.194588e-10	-4.355270e-31	-4.053781e-31	+2.360191e-30	+5.419150e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
32001	+3.992170e-19	+3.823262e-19	-3.964431e-10	-9.732038e-11	-1.159107e-10	-7.026012e-31	+1.236213e-30	+4.759451e-30	+5.416626e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
33001	+4.778202e-19	+3.756171e-19	-3.913162e-10	-1.042920e-10	-1.081188e-10	-5.516530e-31	+2.908424e-30	+5.246977e-30	+5.493926e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
34001	+3.421488e-19	+3.920030e-19	-3.844667e-10	-1.090275e-10	-9.953010e-11	-5.244581e-31	+3.405255e-30	+2.938603e-30	+5.553696e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
35001	+3.928100e-19	+3.778086e-19	-3.767801e-10	-1.091239e-10	-8.785408e-11	-7.433935e-32	+5.548555e-30	+1.979264e-30	+5.567706e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
36001	+4.760235e-19	+3.723776e-19	-3.670402e-10	-1.094747e-10	-7.403586e-11	-5.846644e-31	+5.258078e-30	+2.988638e-30	+5.525748e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
37001	+3.452754e-19	+3.508484e-19	-3.583020e-10	-1.113835e-10	-5.892625e-11	+8.941786e-32	+5.498901e-30	+2.892282e-31	+5.530953e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
38001	+3.345389e-19	+3.707663e-19	-3.482162e-10	-1.110295e-10	-4.485700e-11	-1.225438e-31	+6.003342e-30	+1.265877e-30	+5.507944e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
39001	+3.593001e-19	+3.928021e-19	-3.368948e-10	-1.128868e-10	-2.936674e-11	-3.774903e-31	+5.875183e-30	+2.252007e-30	+5.479866e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
40001	+3.693270e-19	+3.659192e-19	-3.232087e-10	-1.166285e-10	-1.484364e-11	+3.666033e-32	+5.638855e-30	+3.181356e-30	+5.465610e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
41001	+3.222965e-19	+3.216906e-19	-3.088274e-10	-1.223956e-10	-2.221984e-12	+1.268772e-32	+4.262790e-30	+1.775990e-30	+5.370173e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
42001	+3.842834e-19	+4.333168e-19	-2.942073e-10	-1.253127e-10	+7.267786e-12	-5.214865e-31	+2.466087e-30	+1.272721e-30	+5.326286e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
43001	+3.342517e-19	+4.300511e-19	-2.847732e-10	-1.258927e-10	+1.497904e-11	-7.366864e-31	+3.047834e-30	+7.560641e-31	+5.314290e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
